1,"Bialik 5, Jerusalem"
2,"Basel 58, Ashdod"
3,"Ben Gurion 71, Ashdod"
4,"Rabin 93, Rishon LeZion"
5,"Herzl 46, Petah Tikva"
6,"King George 83, Netanya"
7,"Ahad HaAm 46, Petah Tikva"
8,"HaNassi 86, Haifa"
9,"Ben Gurion 35, Beersheba"
10,"HaNassi 23, Rishon LeZion"
11,"Rothschild 66, Ramat Gan"
12,"Allenby 30, Tel Aviv"
13,"Bialik 25, Jerusalem"
14,"Rabin 83, Netanya"
15,"Bialik 22, Tel Aviv"
16,"Jabotinsky 46, Netanya"
17,"Weizmann 62, Netanya"
18,"Ben Gurion 92, Jerusalem"
19,"Ahad HaAm 5, Netanya"
20,"Rabin 12, Jerusalem"
21,"Nordau 99, Ashdod"
22,"Ben Gurion 30, Holon"
23,"Ahad HaAm 63, Petah Tikva"
24,"Begin 5, Beersheba"
25,"Nordau 8, Netanya"
26,"Ahad HaAm 61, Netanya"
27,"Ben Gurion 24, Jerusalem"
28,"HaNassi 13, Petah Tikva"
29,"Rothschild 63, Haifa"
30,"Rothschild 53, Ashdod"
31,"Weizmann 4, Petah Tikva"
32,"Ahad HaAm 74, Holon"
33,"King George 18, Netanya"
34,"Herzl 15, Petah Tikva"
35,"Rabin 9, Jerusalem"
36,"Weizmann 58, Ramat Gan"
37,"Ben Gurion 65, Netanya"
38,"Ahad HaAm 81, Rishon LeZion"
39,"Ahad HaAm 8, Ashdod"
40,"Allenby 67, Beersheba"
41,"Ahad HaAm 46, Beersheba"
42,"HaNassi 2, Ramat Gan"
43,"King George 41, Beersheba"
44,"Rothschild 100, Beersheba"
45,"Jabotinsky 27, Petah Tikva"
46,"Allenby 63, Netanya"
47,"Weizmann 45, Beersheba"
48,"Basel 60, Jerusalem"
49,"King George 56, Ashdod"
50,"Nordau 35, Ramat Gan"
51,"Nordau 38, Petah Tikva"
52,"Dizengoff 38, Holon"
53,"Ahad HaAm 22, Holon"
54,"Bialik 37, Jerusalem"
55,"Bialik 30, Ashdod"
56,"Bialik 63, Tel Aviv"
57,"Rothschild 12, Ashdod"
58,"Dizengoff 31, Beersheba"
59,"Basel 24, Beersheba"
60,"Ahad HaAm 17, Tel Aviv"
61,"Basel 75, Ashdod"
62,"Allenby 16, Jerusalem"
63,"Jabotinsky 58, Petah Tikva"
64,"Herzl 31, Netanya"
65,"Rabin 73, Petah Tikva"
66,"Begin 1, Ashdod"
67,"Begin 94, Ramat Gan"
68,"Ben Gurion 46, Ramat Gan"
69,"King George 38, Rishon LeZion"
70,"Ahad HaAm 48, Haifa"
71,"Dizengoff 87, Jerusalem"
72,"Jabotinsky 19, Ashdod"
73,"Begin 43, Ashdod"
74,"Dizengoff 51, Ashdod"
75,"Herzl 4, Tel Aviv"
76,"King George 38, Ashdod"
77,"Allenby 55, Rishon LeZion"
78,"Bialik 65, Haifa"
79,"Allenby 28, Holon"
80,"Nordau 22, Beersheba"
81,"Jabotinsky 97, Haifa"
82,"King George 33, Haifa"
83,"Nordau 13, Ramat Gan"
84,"Nordau 25, Haifa"
85,"Begin 93, Jerusalem"
86,"Ahad HaAm 12, Holon"
87,"King George 100, Ashdod"
88,"Dizengoff 65, Ramat Gan"
89,"Allenby 29, Tel Aviv"
90,"Weizmann 87, Rishon LeZion"
91,"Basel 15, Ramat Gan"
92,"Weizmann 28, Jerusalem"
93,"Jabotinsky 92, Netanya"
94,"Basel 41, Petah Tikva"
95,"Rabin 90, Petah Tikva"
96,"King George 13, Tel Aviv"
97,"Weizmann 69, Rishon LeZion"
98,"Allenby 25, Haifa"
99,"Rabin 47, Tel Aviv"
100,"Basel 57, Haifa"
101,"Dizengoff 71, Tel Aviv"
102,"Dizengoff 26, Tel Aviv"
103,"Bialik 58, Netanya"
104,"Bialik 32, Tel Aviv"
105,"Dizengoff 52, Petah Tikva"
106,"Jabotinsky 68, Tel Aviv"
107,"Ben Gurion 78, Beersheba"
108,"Begin 25, Rishon LeZion"
109,"Begin 91, Petah Tikva"
110,"Jabotinsky 70, Ramat Gan"
111,"Ahad HaAm 99, Holon"
112,"Weizmann 100, Holon"
113,"Jabotinsky 5, Tel Aviv"
114,"Rothschild 53, Holon"
115,"Ben Gurion 45, Beersheba"
116,"Rabin 48, Ramat Gan"
117,"Allenby 17, Haifa"
118,"Weizmann 32, Holon"
119,"Begin 99, Haifa"
120,"Rothschild 97, Tel Aviv"
121,"Herzl 38, Rishon LeZion"
122,"Jabotinsky 64, Netanya"
123,"Herzl 21, Ashdod"
124,"Basel 9, Haifa"
125,"Rothschild 49, Haifa"
126,"Ben Gurion 66, Ashdod"
127,"Allenby 49, Tel Aviv"
128,"Rothschild 85, Jerusalem"
129,"Herzl 43, Rishon LeZion"
130,"HaNassi 15, Holon"
131,"Bialik 2, Netanya"
132,"Weizmann 90, Beersheba"
133,"Nordau 94, Jerusalem"
134,"HaNassi 52, Ashdod"
135,"Rabin 6, Ramat Gan"
136,"Weizmann 11, Petah Tikva"
137,"Rabin 20, Haifa"
138,"Ben Gurion 45, Ramat Gan"
139,"Rothschild 11, Holon"
140,"Rabin 11, Tel Aviv"
141,"King George 63, Haifa"
142,"Herzl 26, Tel Aviv"
143,"Nordau 7, Beersheba"
144,"Rothschild 66, Beersheba"
145,"Begin 17, Holon"
146,"Ahad HaAm 81, Ashdod"
147,"Herzl 84, Jerusalem"
148,"HaNassi 73, Ashdod"
149,"Allenby 58, Holon"
150,"Basel 7, Holon"
